raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
아니 왜 슬글슬금 내려오는 거야.....,아니 왜 슬글슬금 내려오는 거야,아니 왜 슬글슬금 내려오는 거야.....,2024-10-10T14:09:12+09:00,0.1156,0.8325,0.0519,1
실적발표 아직안햇는뎅?,실적발표 아직안햇는뎅,실적발표 아직안햇는뎅?,2024-10-22T14:27:29+09:00,0.127,0.7951,0.078,1
ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋ,2024-09-10T11:03:51+09:00,0.0495,0.9358,0.0148,1
평단오면 빼는게 맞을까요..더 가지고 있어보는게 좋을까요?ㅜㅜ,평단오면 빼는게 맞을까요더 가지고 있어보는게 좋을까요,평단오면 빼는게 맞을까요..더 가지고 있어보는게 좋을까요?ㅜㅜ,2024-07-31T13:17:36+09:00,0.0835,0.809,0.1075,1
"하이닉스 나름 선방중이네요. 수익날때까진 존밥니다. 86,000원 넘으면 익절 합니다.",하이닉스 나름 선방중이네요 수익날때까진 존밥니다 86000원 넘으면 익절 합니다,"하이닉스 나름 선방중이네요. 수익날때까진 존밥니다. 86,000원 넘으면 익절 합니다.",2022-12-06T13:49:58+09:00,0.0965,0.1157,0.7878,2
와국인 기관 쌍끌이  하는 중.  개미들도 동참 합시다 ~~~,와국인 기관 쌍끌이 하는 중 개미들도 동참 합시다,와국인 기관 쌍끌이 하는 중. 개미들도 동참 합시다,2024-08-09T18:39:17+09:00,0.1648,0.4956,0.3396,1
확실히 전쟁디버프가 있어서 많이못가네 후,확실히 전쟁디버프가 있어서 많이못가네 후,확실히 전쟁디버프가 있어서 많이못가네 후,2024-10-04T09:05:20+09:00,0.1373,0.5649,0.2978,1
"소방차,구급차 출동시켜주세요 ㅠㅡㅠ
오늘은 121500까지만이라도 마감시켜주세요.",소방차구급차 출동시켜주세요 오늘은 121500까지만이라도 마감시켜주세요,"소방차,구급차 출동시켜주세요 ㅠㅡㅠ 오늘은 121500까지만이라도 마감시켜주세요.",2021-07-12T12:16:48+09:00,0.1659,0.5272,0.3069,1
엔비디아 겁나 오르네요,엔비디아 겁나 오르네요,엔비디아 겁나 오르네요,2023-05-30T20:36:47+09:00,0.118,0.5822,0.2998,1
담배값 ㄱ,담배값,담배값 ㄱ,2024-04-26T09:18:52+09:00,0.0597,0.9051,0.0352,1
괜히 팔았다 라고 후회하는사람 손ㅠㅠ,괜히 팔았다 라고 후회하는사람 손,괜히 팔았다 라고 후회하는사람 손ㅠㅠ,2023-01-06T13:57:20+09:00,0.1246,0.8398,0.0356,1
이성적인 판단으로 투표부탁해요 ㅎㅎ,이성적인 판단으로 투표부탁해요,이성적인 판단으로 투표부탁해요 ㅎㅎ,2025-01-03T15:47:29+09:00,0.0562,0.862,0.0818,1
나스닥 날아감,나스닥 날아감,나스닥 날아감,2024-04-26T05:10:47+09:00,0.242,0.5659,0.1921,1
간보기,간보기,간보기,2024-03-20T10:41:32+09:00,0.0665,0.9019,0.0316,1
뚫어버리네 와 엄청나긴하다,뚫어버리네 와 엄청나긴하다,뚫어버리네 와 엄청나긴하다,2024-10-17T15:29:55+09:00,0.1467,0.7985,0.0548,1
원래 가격 되찾자!!,원래 가격 되찾자,원래 가격 되찾자!!,2025-02-06T11:47:19+09:00,0.0387,0.4821,0.4793,1
시가총액  랭킹에 들어가면 뭐해. 행보가 잡주인데 ㅋㅋ ㅋ,시가총액 랭킹에 들어가면 뭐해 행보가 잡주인데,시가총액 랭킹에 들어가면 뭐해. 행보가 잡주인데 ㅋㅋ ㅋ,2023-04-04T10:20:22+09:00,0.1507,0.4603,0.389,1
20은 오나요?,20은 오나요,20은 오나요?,2024-11-04T15:15:19+09:00,0.0664,0.8916,0.0419,1
...,,...,2024-05-13T10:24:19+09:00,0.0408,0.9446,0.0146,1
오후에 최고점 넘을듯!,오후에 최고점 넘을듯,오후에 최고점 넘을듯!,2025-01-09T09:30:50+09:00,0.1183,0.3405,0.5412,2
내일 떨어져도 되니깐 오늘은 올라줘,내일 떨어져도 되니깐 오늘은 올라줘,내일 떨어져도 되니깐 오늘은 올라줘,2024-12-24T09:13:59+09:00,0.0437,0.1321,0.8242,2
하 5퍼면 먹는게 맞는데 왜 9만원 넘을것 같냐..,하 5퍼면 먹는게 맞는데 왜 9만원 넘을것 같냐,하 5퍼면 먹는게 맞는데 왜 9만원 넘을것 같냐..,2023-01-10T14:15:03+09:00,0.0714,0.8539,0.0747,1
음 오늘 기대했는데??,음 오늘 기대했는데,음 오늘 기대했는데??,2024-10-08T11:15:32+09:00,0.0404,0.9147,0.045,1
8만원때 정찰 보내고 9만원때 팔았는데.. 안타까울 따름,8만원때 정찰 보내고 9만원때 팔았는데 안타까울 따름,8만원때 정찰 보내고 9만원때 팔았는데.. 안타까울 따름,2024-05-13T20:58:17+09:00,0.2245,0.7145,0.061,1
"왜이래??? 갑자기....
아마도 내일은 ....",왜이래 갑자기 아마도 내일은,왜이래??? 갑자기.... 아마도 내일은 ....,2024-10-17T16:46:32+09:00,0.0655,0.9103,0.0242,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-01-28T06:40:38+09:00,0.0596,0.9249,0.0155,1
너무 떨구네 이거 ㅋㅋ,너무 떨구네 이거,너무 떨구네 이거 ㅋㅋ,2025-02-03T10:13:59+09:00,0.1052,0.8708,0.024,1
18층 곧 옵니다,18층 곧 옵니다,18층 곧 옵니다,2024-07-19T11:55:38+09:00,0.0649,0.8207,0.1144,1
오늘 반도체 바이오 기업들 관련 세액공제 이슈때문인가,오늘 반도체 바이오 기업들 관련 세액공제 이슈때문인가,오늘 반도체 바이오 기업들 관련 세액공제 이슈때문인가,2023-01-04T12:07:24+09:00,0.259,0.4419,0.299,1
가즈아,가즈아,가즈아,2024-04-24T08:51:55+09:00,0.0133,0.0654,0.9214,2
더 떨어져라,더 떨어져라,더 떨어져라,2024-11-27T12:55:42+09:00,0.0807,0.2167,0.7026,2
"어제 기관 외인 쌍끌이로 코스피 코스닥 반등하고있는게 한방에 사라져버렸네요
악재 없었으면 하이닉스도 17공방전 하고있을텐데 보합이라니 
참 아쉽네요",어제 기관 외인 쌍끌이로 코스피 코스닥 반등하고있는게 한방에 사라져버렸네요 악재 없었으면 하이닉스도 17공방전 하고있을텐데 보합이라니 참 아쉽네요,어제 기관 외인 쌍끌이로 코스피 코스닥 반등하고있는게 한방에 사라져버렸네요 악재 없었으면 하이닉스도 17공방전 하고있을텐데 보합이라니 참 아쉽네요,2024-12-04T11:45:01+09:00,0.5798,0.2004,0.2198,0
그만 내려가 ㅜ0ㅜ,그만 내려가 0,그만 내려가 ㅜ0ㅜ,2024-07-31T09:04:38+09:00,0.1402,0.7976,0.0623,1
와~~~~~~~~~우,와우,와우,2025-01-06T09:02:20+09:00,0.0527,0.9249,0.0224,1
17만원 매수 걸어놧다!,17만원 매수 걸어놧다,17만원 매수 걸어놧다!,2025-03-05T09:16:30+09:00,0.2505,0.5336,0.216,1
습관성 구매,습관성 구매,습관성 구매,2024-09-19T09:41:36+09:00,0.1609,0.7872,0.0518,1
솔직히 삼성은 끝물이라 하닉이 기대값이 높은데 가격이 만만찮네.....;;,솔직히 삼성은 끝물이라 하닉이 기대값이 높은데 가격이 만만찮네,솔직히 삼성은 끝물이라 하닉이 기대값이 높은데 가격이 만만찮네.....,2025-02-27T12:21:47+09:00,0.2698,0.5778,0.1525,1
이야.. 나 무습다,이야 나 무습다,이야.. 나 무습다,2024-04-22T09:44:30+09:00,0.0315,0.9374,0.0311,1
19대 쏟을확률 얼마나될까요,19대 쏟을확률 얼마나될까요,19대 쏟을확률 얼마나될까요,2024-10-24T12:24:42+09:00,0.0998,0.8289,0.0713,1
"밤새 한숨도 못자고 엔비디아와 롱 내려가는거 보고
오늘 하이닉스가 너무 무서웠는데... 생각보다 버티네요.. 휴😨",밤새 한숨도 못자고 엔비디아와 롱 내려가는거 보고 오늘 하이닉스가 너무 무서웠는데 생각보다 버티네요 휴,밤새 한숨도 못자고 엔비디아와 롱 내려가는거 보고 오늘 하이닉스가 너무 무서웠는데... 생각보다 버티네요.. 휴,2024-09-04T09:17:23+09:00,0.1449,0.7142,0.1409,1
잠시만 안녕,잠시만 안녕,잠시만 안녕,2025-03-11T17:30:35+09:00,0.0815,0.8862,0.0322,1
무빙머고 갑자기 ㅋㄷ,무빙머고 갑자기,무빙머고 갑자기 ㅋㄷ,2024-12-03T15:52:43+09:00,0.1067,0.8575,0.0358,1
간보다가 109000에 들어왔는데 설마 이걸 뚫고 더 내려가나?,간보다가 109000에 들어왔는데 설마 이걸 뚫고 더 내려가나,간보다가 109000에 들어왔는데 설마 이걸 뚫고 더 내려가나?,2021-08-11T09:27:34+09:00,0.147,0.4678,0.3852,1
느낌이 좋아,느낌이 좋아,느낌이 좋아,2024-09-27T13:28:09+09:00,0.0337,0.9268,0.0395,1
이건기회야~~~,이건기회야,이건기회야,2024-07-25T11:26:15+09:00,0.0934,0.8151,0.0916,1
탈토스 준비중,탈토스 준비중,탈토스 준비중,2024-07-09T11:15:54+09:00,0.0968,0.7842,0.119,1
냠,냠,냠,2025-01-06T10:35:08+09:00,0.057,0.9251,0.018,1
"국장은 적응 안돼 진짜...이걸 이렇게 끌고 가야하는건가 싶내...
국장은 지금 미장 빠지면 같이 빠지고 미장 오를때 오르는척 하고
그러다 또 미장 빠지면 같이 빠지고 ㅋㅋㅋ

국장 급등시점은 금투세 폐지확정될때나 가능하려나...",국장은 적응 안돼 진짜이걸 이렇게 끌고 가야하는건가 싶내 국장은 지금 미장 빠지면 같이 빠지고 미장 오를때 오르는척 하고 그러다 또 미장 빠지면 같이 빠지고 국장 급등시점은 금투세 폐지확정될때나 가능하려나,국장은 적응 안돼 진짜...이걸 이렇게 끌고 가야하는건가 싶내... 국장은 지금 미장 빠지면 같이 빠지고 미장 오를때 오르는척 하고 그러다 또 미장 빠지면 같이 빠지고 ㅋㅋㅋ 국장 급등시점은 금투세 폐지확정될때나 가능하려나...,2024-08-09T09:53:05+09:00,0.3503,0.2684,0.3813,2
올라서 즐겁네요 ^^,올라서 즐겁네요,올라서 즐겁네요,2021-11-15T11:09:15+09:00,0.0441,0.6899,0.2661,1
영차영차,영차영차,영차영차,2024-12-13T13:37:05+09:00,0.0508,0.1493,0.7999,2
"203500인데..본전치고 파는게좋을까요?
더 놔둬볼까요?ㅋ",203500인데본전치고 파는게좋을까요 더 놔둬볼까요,203500인데..본전치고 파는게좋을까요? 더 놔둬볼까요?ㅋ,2024-11-08T09:22:12+09:00,0.1758,0.6616,0.1626,1
제발 보합 가즈아..,제발 보합 가즈아,제발 보합 가즈아..,2024-08-08T12:00:40+09:00,0.0181,0.138,0.8439,2
가자이제.. ㅠㅠ,가자이제,가자이제.. ㅠㅠ,2021-08-12T06:42:52+09:00,0.0158,0.1457,0.8385,2
더 올라가지말고 조금만 기다려줘,더 올라가지말고 조금만 기다려줘,더 올라가지말고 조금만 기다려줘,2024-10-10T10:13:22+09:00,0.0383,0.2106,0.7512,2
사자마자내려왜,사자마자내려왜,사자마자내려왜,2024-03-19T10:45:28+09:00,0.1504,0.7826,0.067,1
드디어 왔다 내 평단,드디어 왔다 내 평단,드디어 왔다 내 평단,2024-12-04T15:32:33+09:00,0.0474,0.6749,0.2777,1
20층 너무 먼산처럼 느껴지네...,20층 너무 먼산처럼 느껴지네,20층 너무 먼산처럼 느껴지네...,2024-09-02T14:27:30+09:00,0.1369,0.7832,0.0799,1
국장은 휴장 드갈거 같내요,국장은 휴장 드갈거 같내요,국장은 휴장 드갈거 같내요,2024-12-04T00:21:43+09:00,0.0768,0.8084,0.1147,1
중국인뽑지마라,중국인뽑지마라,중국인뽑지마라,2024-05-29T12:08:04+09:00,0.0621,0.9006,0.0373,1
야 갑자기 왜 이래....,야 갑자기 왜 이래,야 갑자기 왜 이래....,2023-01-04T09:15:07+09:00,0.0682,0.9145,0.0173,1
다들 알고 계시자나요 주식이 매일 오를순없다는거 다들 힘내세요,다들 알고 계시자나요 주식이 매일 오를순없다는거 다들 힘내세요,다들 알고 계시자나요 주식이 매일 오를순없다는거 다들 힘내세요,2024-03-20T13:23:59+09:00,0.1479,0.6696,0.1825,1
본전 23층이야 얼른와줘ㅠ,본전 23층이야 얼른와줘,본전 23층이야 얼른와줘ㅠ,2024-10-24T14:20:55+09:00,0.0705,0.8344,0.0951,1
하이닉스가 와 이리됐노?,하이닉스가 와 이리됐노,하이닉스가 와 이리됐노?,2022-11-01T10:58:32+09:00,0.0689,0.8696,0.0615,1
닉스 폼 미쳤다,닉스 폼 미쳤다,닉스 폼 미쳤다,2024-03-04T12:20:28+09:00,0.0566,0.9109,0.0325,1
오늘은 개미무덤이 좀 쌘가보다 힘이없네,오늘은 개미무덤이 좀 쌘가보다 힘이없네,오늘은 개미무덤이 좀 쌘가보다 힘이없네,2025-03-13T09:11:23+09:00,0.2119,0.658,0.13,1
이런,이런,이런,2024-08-02T10:07:15+09:00,0.0718,0.9099,0.0183,1
...????,,...????,2025-01-06T15:31:32+09:00,0.0385,0.9457,0.0158,1
잘했다 나 자신,잘했다 나 자신,잘했다 나 자신,2025-02-17T15:01:23+09:00,0.0414,0.9306,0.028,1
나중에 다시 올게요,나중에 다시 올게요,나중에 다시 올게요,2024-03-29T09:11:33+09:00,0.0263,0.8886,0.0851,1
오늘반전오는날 ㅋ,오늘반전오는날,오늘반전오는날 ㅋ,2025-02-14T08:28:44+09:00,0.1229,0.3203,0.5568,2
외국인은 오늘도사고 엔비디아 쭉쭉올라가는데 왜팜? 15무난히넘긴다,외국인은 오늘도사고 엔비디아 쭉쭉올라가는데 왜팜 15무난히넘긴다,외국인은 오늘도사고 엔비디아 쭉쭉올라가는데 왜팜? 15무난히넘긴다,2024-02-13T12:14:03+09:00,0.1442,0.3112,0.5445,2
오르던 내려가던 언제나 파란불..,오르던 내려가던 언제나 파란불,오르던 내려가던 언제나 파란불..,2021-11-17T13:58:38+09:00,0.147,0.3613,0.4916,2
잘 버틴다 장하다,잘 버틴다 장하다,잘 버틴다 장하다,2024-12-04T10:42:35+09:00,0.0556,0.8681,0.0763,1
내일 오르것군 ㅋㅋ,내일 오르것군,내일 오르것군 ㅋㅋ,2024-06-24T14:02:33+09:00,0.1264,0.5595,0.3142,1
기관머해 좀사라,기관머해 좀사라,기관머해 좀사라,2024-04-11T11:28:44+09:00,0.1247,0.8264,0.0488,1
호재인가? 관련없나?,호재인가 관련없나,호재인가? 관련없나?,2024-10-17T16:13:39+09:00,0.1608,0.6111,0.2282,1
앞으로 1시간 동안은 계속 상승 할것 같아요~ +_+ ㄱ ㄱ ㅑ !!!!,앞으로 1시간 동안은 계속 상승 할것 같아요,앞으로 1시간 동안은 계속 상승 할것 같아요 _ ㄱ ㄱ ㅑ !!!!,2024-05-27T09:55:42+09:00,0.2577,0.4144,0.3279,1
이주식이 웃긴게 누가봐도 가치는 30만 근데 외국인이랑 기관 법인에서 자꾸 단타치려고 주가 낮춤 ㅋㅋ 어떻게든 개미들 돈 한번 털고가려고 그거 당하면 눈물만 나오는거임 그니까 혹시나 개미면 안당하게 조심~,이주식이 웃긴게 누가봐도 가치는 30만 근데 외국인이랑 기관 법인에서 자꾸 단타치려고 주가 낮춤 어떻게든 개미들 돈 한번 털고가려고 그거 당하면 눈물만 나오는거임 그니까 혹시나 개미면 안당하게 조심,이주식이 웃긴게 누가봐도 가치는 30만 근데 외국인이랑 기관 법인에서 자꾸 단타치려고 주가 낮춤 ㅋㅋ 어떻게든 개미들 돈 한번 털고가려고 그거 당하면 눈물만 나오는거임 그니까 혹시나 개미면 안당하게 조심,2024-07-11T09:32:24+09:00,0.518,0.313,0.1691,0
?,,?,2022-02-07T09:16:18+09:00,0.044,0.9393,0.0167,1
뭐지 30만 가려고??,뭐지 30만 가려고,뭐지 30만 가려고??,2024-10-16T12:50:25+09:00,0.0525,0.9125,0.035,1
"또 떨구네 ㅋㅋ 으휴
삼전 저 분위기에 수율 향상에 성공했을리 만무",또 떨구네 으휴 삼전 저 분위기에 수율 향상에 성공했을리 만무,또 떨구네 ㅋㅋ 으휴 삼전 저 분위기에 수율 향상에 성공했을리 만무,2024-10-28T14:04:04+09:00,0.2515,0.4651,0.2834,1
그래도 하이닉스덕분에 산다. 삼전이랑같이...,그래도 하이닉스덕분에 산다 삼전이랑같이,그래도 하이닉스덕분에 산다. 삼전이랑같이...,2022-02-10T15:01:38+09:00,0.0701,0.7949,0.135,1
일단 정찰병 투입!!,일단 정찰병 투입,일단 정찰병 투입!!,2025-01-06T09:09:45+09:00,0.0893,0.7813,0.1294,1
오늘 빼면,오늘 빼면,오늘 빼면,2024-04-29T14:19:36+09:00,0.0423,0.9288,0.0289,1
부러워,부러워,부러워,2024-06-18T09:10:47+09:00,0.041,0.9307,0.0283,1
"11뭘3일(목) 오전 3시 미국 기준금리 0.75% 인상발표  
앞전 미국 기준금리 인상후 여러번  경험 했더시...
주식 폭락예상...
그후 저점일때 매수 기회",11뭘3일목 오전 3시 미국 기준금리 075 인상발표 앞전 미국 기준금리 인상후 여러번 경험 했더시 주식 폭락예상 그후 저점일때 매수 기회,11뭘3일목 오전 3시 미국 기준금리 0.75 인상발표 앞전 미국 기준금리 인상후 여러번 경험 했더시... 주식 폭락예상... 그후 저점일때 매수 기회,2022-10-31T15:25:24+09:00,0.5565,0.1291,0.3144,0
"지금은 (점심에 키움/미래에셋에 이어)

삼성증권이 사주고 있어요.17만 8천원대에.😀",지금은 점심에 키움미래에셋에 이어 삼성증권이 사주고 있어요17만 8천원대에,지금은 점심에 키움미래에셋에 이어 삼성증권이 사주고 있어요.17만 8천원대에.,2024-11-15T13:55:36+09:00,0.1062,0.6308,0.2631,1
내일도  이만큼만  오르자~~,내일도 이만큼만 오르자,내일도 이만큼만 오르자,2023-08-24T11:43:06+09:00,0.0236,0.1476,0.8288,2
왜 투주?,왜 투주,왜 투주?,2024-05-29T16:07:30+09:00,0.2989,0.6321,0.069,1
"차라리 오르지마 더 떨어져보시지
희망고문 그만하라고 이미 건널수없는 강을 건거갔으니
ㅜㅜ",차라리 오르지마 더 떨어져보시지 희망고문 그만하라고 이미 건널수없는 강을 건거갔으니,차라리 오르지마 더 떨어져보시지 희망고문 그만하라고 이미 건널수없는 강을 건거갔으니 ㅜㅜ,2021-10-13T10:52:02+09:00,0.3672,0.2853,0.3476,0
이궈궈던~,이궈궈던,이궈궈던,2024-10-24T12:22:15+09:00,0.059,0.9016,0.0394,1
배당일까지 기다리려다가 주식 수량도 작고 배당일 지나면 떨어질거같아서 빠졌다가 나중에 다시 올게요.,배당일까지 기다리려다가 주식 수량도 작고 배당일 지나면 떨어질거같아서 빠졌다가 나중에 다시 올게요,배당일까지 기다리려다가 주식 수량도 작고 배당일 지나면 떨어질거같아서 빠졌다가 나중에 다시 올게요.,2024-03-27T10:38:20+09:00,0.3736,0.2848,0.3416,0
난 널 믿는다 너도 나에게 믿음을 줘,난 널 믿는다 너도 나에게 믿음을 줘,난 널 믿는다 너도 나에게 믿음을 줘,2023-09-18T11:39:35+09:00,0.0584,0.8191,0.1225,1
그래 이게 어디냐,그래 이게 어디냐,그래 이게 어디냐,2024-09-20T09:35:48+09:00,0.0346,0.9162,0.0491,1
입문시작 하자마자 내려가는게 맞아요?,입문시작 하자마자 내려가는게 맞아요,입문시작 하자마자 내려가는게 맞아요?,2024-10-24T09:24:23+09:00,0.2814,0.5182,0.2005,1
가즈아,가즈아,가즈아,2022-12-05T12:50:30+09:00,0.0133,0.0654,0.9214,2
12시에 꼴박 예정,12시에 꼴박 예정,12시에 꼴박 예정,2024-07-31T09:12:02+09:00,0.2759,0.623,0.1011,1
"머야 생각보다 많이 안떨어졌네?!?!
반등 가즈아",머야 생각보다 많이 안떨어졌네 반등 가즈아,머야 생각보다 많이 안떨어졌네?!?! 반등 가즈아,2024-10-16T09:08:46+09:00,0.0601,0.0573,0.8826,2
물린거 드디어 팜 후후…,물린거 드디어 팜 후후,물린거 드디어 팜 후후,2024-04-12T11:16:52+09:00,0.2776,0.6314,0.091,1
잘주워보자 얼른열려라,잘주워보자 얼른열려라,잘주워보자 얼른열려라,2025-01-31T08:57:01+09:00,0.0908,0.7219,0.1873,1
"현대차 주가 돌파 하면
 난 그때 매도 예정",현대차 주가 돌파 하면 난 그때 매도 예정,현대차 주가 돌파 하면 난 그때 매도 예정,2024-11-04T13:26:41+09:00,0.2108,0.3456,0.4436,2
"하씨 전쟁이 또한 몫 해버리네 하...
미장 옵션만기도 버거운데..",하씨 전쟁이 또한 몫 해버리네 하 미장 옵션만기도 버거운데,하씨 전쟁이 또한 몫 해버리네 하... 미장 옵션만기도 버거운데..,2024-04-19T10:57:56+09:00,0.2117,0.6556,0.1327,1
ㅠㅠ,,ㅠㅠ,2024-06-24T16:15:54+09:00,0.0612,0.9114,0.0274,1
100원씩 오르네 ㅡㅡ,100원씩 오르네,100원씩 오르네 ㅡㅡ,2024-11-01T09:42:43+09:00,0.0556,0.4217,0.5227,2
"금요일 장끝나기 전에 내가 네이버 다 팔고 샀음...
그 뒤로 네이버는 좀 오르고 하이닉스 계속 떨어짐
인간 고점판독기임..
주식 복귀하고 이렇게 돌아다니면서  산게
10전 10패임ㅋㅋ....",금요일 장끝나기 전에 내가 네이버 다 팔고 샀음 그 뒤로 네이버는 좀 오르고 하이닉스 계속 떨어짐 인간 고점판독기임 주식 복귀하고 이렇게 돌아다니면서 산게 10전 10패임,금요일 장끝나기 전에 내가 네이버 다 팔고 샀음... 그 뒤로 네이버는 좀 오르고 하이닉스 계속 떨어짐 인간 고점판독기임.. 주식 복귀하고 이렇게 돌아다니면서 산게 10전 10패임ㅋㅋ....,2024-08-27T13:49:28+09:00,0.4551,0.1196,0.4253,0
이거가지고 미국이 딴지걸면 진짜 개양아치지,이거가지고 미국이 딴지걸면 진짜 개양아치지,이거가지고 미국이 딴지걸면 진짜 개양아치지,2023-09-08T13:53:24+09:00,0.1323,0.8078,0.0599,1
"분봉도 없어지고 날짜 이동도 못 하고
장난함?
주식 안 해본 사람이 기획했음?
이걸 지금 이뻐보인다고 이따위로 바꿔놓은 건 아니겠지?",분봉도 없어지고 날짜 이동도 못 하고 장난함 주식 안 해본 사람이 기획했음 이걸 지금 이뻐보인다고 이따위로 바꿔놓은 건 아니겠지,분봉도 없어지고 날짜 이동도 못 하고 장난함? 주식 안 해본 사람이 기획했음? 이걸 지금 이뻐보인다고 이따위로 바꿔놓은 건 아니겠지?,2023-09-19T09:47:10+09:00,0.3562,0.489,0.1548,1
"주식은 악재에매수
호재에 매도가정답이다",주식은 악재에매수 호재에 매도가정답이다,주식은 악재에매수 호재에 매도가정답이다,2024-07-18T12:22:47+09:00,0.7345,0.1113,0.1543,0
하닉아! 쪼금만 힘을내서 나의 꼬까옷 살 돈을 줘 …!🥺,하닉아 쪼금만 힘을내서 나의 꼬까옷 살 돈을 줘,하닉아! 쪼금만 힘을내서 나의 꼬까옷 살 돈을 줘 !,2024-06-28T14:02:21+09:00,0.0971,0.6699,0.2331,1
